Axis,Target Group,Attribute
Religion,Hindus,family-oriented
Religion,Hindus,caste-conscious
Religion,Hindus,aloof
Religion,Hindus,wealthy
Religion,Hindus,spiritual
Nativity,Migrants (Bhaile),Hardworking
Nativity,Migrants (Bhaile),Culturally insensitive
Nativity,Migrants (Bhaile),lack civic sense
Nativity,Migrants (Bhaile),Money-minded
Nativity,Migrants (Bhaile),Uneducated
Nativity,Migrants (Bhaile),Resourceful
Nativity,Migrants (Bhaile),Overcrowding local areas
Nativity,Migrants (Bhaile),Land grabbers
Nativity,Locals (Goans),Susegad (Laid-back/Lazy)
Nativity,Locals (Goans),Fish-curry-rice eaters
Nativity,Locals (Goans),Alcohol-loving
Nativity,Locals (Goans),assumed to be Christians
Nativity,Locals (Goans),Music and football lovers
Nativity,Locals (Goans),Westernized
Nativity,Locals (Goans),Hospitable
Nativity,Locals (Goans),Fun-loving
Nativity,Locals (Goans),Susceptible to vices
Nativity,Locals (Goans),Party animals
Nativity,Locals (Goans),Xenophobic towards outsiders
Nativity,Tourists,Beach-loving
Nativity,Tourists,Party animals
Nativity,Tourists,Uninhibited
Nativity,Tourists,Overly loud
Nativity,Tourists,Casual dressers
Nativity,Tourists,Disrespectful of local customs
Nativity,Tourists,Bargain hunters
Nativity,Tourists,Drug users
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Obsessed with gold
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Builds 'Cake Houses'
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Culturally disconnected
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Status-conscious
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),English-speaking aspirants
Region,Northern Goans (Bardezkars),Laid-back lifestyle
Region,Northern Goans (Bardezkars),Party enthusiasts
Region,Northern Goans (Bardezkars),Culturally rich
Region,Northern Goans (Bardezkars),Proud of their heritage
Region,Northern Goans (Bardezkars),Reluctant to change
Region,Northern Goans (Bardezkars),Loud and boisterous
Region,Northern Goans (Bardezkars),Superstitious
Region,Northern Goans (Bardezkars),Strong community ties
Region,South Goans (Sashtikars),Old money / Aristocratic
Region,South Goans (Sashtikars),Susegad (Extremely laid-back)
Region,South Goans (Sashtikars),Dislike Northern Goa chaos
Age,Youth,carefree
Age,Youth,party-loving
Age,Youth,adventurous
Age,Youth,lazy
Age,Youth,disrespectful
Age,Youth,well-educated
Age,Elderly,wise and knowledgeable
Age,Elderly,set in their ways
Age,Elderly,caretakers of culture
Age,Elderly,Nostalgic for the past
Age,Elderly,spiritual or religious
Gender,Men,Laid-back
Gender,Men,Macho
Gender,Men,Alcohol-loving
Gender,Men,Hardworking
Gender,Men,Family-oriented
Gender,Women,Traditional homemaker
Gender,Women,Reluctant to speak up
Gender,Women,Religious devotee
Gender,Women,Expert cook
Gender,Women,Submissive partner
Gender,Women,Community organizer
